order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI03637,2018-08-29,15:56:37,Lunch,NS,"[('Fries', 1), ('Burger', 10), ('Steak', 1), ('Chicken', 6)]",559.0,-37.8106377,144.9598277,0,7.787,13.102984
ORDC05636,2018-04-19,11:32:57,Breakfast,NS,"[('Pancake', 5), ('Coffee', 1), ('Cereal', 3), ('Eggs', 3)]",257.75,-37.8135784,144.9740498,0,7.694,12.8217714
ORDZ01187,2018-05-24,12:43:56,Lunch,NS,"[('Chicken', 7), ('Fries', 4), ('Burger', 3), ('Steak', 10)]",815.0,-37.8121346,144.9414663,0,9.468,14.8352649
ORDZ07620,2018-08-22,15:46:28,Lunch,NS,"[('Steak', 4), ('Burger', 9), ('Fries', 6)]",531.0,-37.8023321,144.9868182,0,7.634,13.2539478
ORDZ06203,2018-02-18,09:31:16,Breakfast,NS,"[('Cereal', 8), ('Eggs', 10)]",388.0,-37.8063392,145.0097678,0,9.956,17.135391
ORDA01174,2018-04-26,11:43:05,Breakfast,BK,"[('Cereal', 6), ('Coffee', 3), ('Eggs', 7)]",302.5,-37.8187378,144.9670613,0,7.609,12.0932057
ORDI05118,2018-11-11,18:28:43,Dinner,NS,"[('Pasta', 10), ('Salmon', 4), ('Shrimp', 3)]",601.0,-37.8031229,144.9616008,0,7.165,15.2229123
ORDX10123,2018-12-31,20:00:00,Dinner,BK,"[('Salmon', 7), ('Pasta', 4)]",397.0,-37.8210293,144.9696248,0,7.816,15.2403359
ORDZ07241,2018-01-29,08:50:42,Breakfast,NS,"[('Pancake', 9), ('Eggs', 7)]",372.25,-37.8239546,144.9374274,0,10.82,15.456837
ORDX10601,2018-01-15,08:20:16,Breakfast,BK,"[('Coffee', 10), ('Cereal', 9), ('Eggs', 1), ('Pancake', 3)]",358.75,-37.8075831,145.0003194,1,4.441,5.065301
ORDK04388,2018-12-20,19:39:43,Dinner,BK,"[('Fish&Chips', 9), ('Salmon', 9)]",684.0,-37.8206578,144.9559141,0,8.514,15.1260214
ORDK08416,2018-08-21,15:36:20,Lunch,BK,"[('Fries', 1), ('Chicken', 10)]",332.0,-37.823455,144.9894381,0,6.24,17.81292015
ORDA07860,2018-07-21,14:35:29,Lunch,BK,"[('Fries', 1), ('Chicken', 7)]",236.0,-37.8219099,145.0114199,0,4.71,13.1222225
ORDI10106,2018-02-24,09:41:24,Breakfast,NS,"[('Eggs', 8), ('Coffee', 1), ('Cereal', 10)]",393.5,-37.8051279,144.9305831,0,10.297,17.3428393
ORDB03549,2018-03-20,10:32:06,Breakfast,TP,"[('Pancake', 7), ('Cereal', 9)]",358.75,-37.8092899,144.960402,0,8.663,11.4612163
ORDI01081,2018-07-26,14:45:38,Lunch,NS,"[('Burger', 3), ('Chicken', 8), ('Fries', 4)]",397.0,-37.802198,144.9604986,0,7.176,12.4994236
ORDY00569,2018-02-28,09:51:32,Breakfast,TP,"[('Cereal', 7), ('Pancake', 1), ('Eggs', 10), ('Coffee', 8)]",451.25,-37.8084919,144.9487961,0,9.591,6.009824
ORDK10791,2018-04-24,11:43:05,Breakfast,BK,"[('Eggs', 5), ('Cereal', 8), ('Pancake', 4)]",375.0,-37.8192399,144.9529087,0,8.847,13.6459738
ORDY03372,2018-02-10,09:10:59,Breakfast,TP,"[('Pancake', 7), ('Cereal', 8), ('Coffee', 8), ('Eggs', 3)]",463.75,-37.8243276,144.9731099,0,8.343,12.9214665
ORDJ08238,2018-03-18,10:21:58,Breakfast,TP,"[('Coffee', 4), ('Eggs', 9), ('Cereal', 3)]",291.0,-37.8074151,144.9422849,0,10.137,14.0054307
ORDZ04243,2018-05-16,12:23:39,Lunch,NS,"[('Fries', 9), ('Burger', 8), ('Salad', 3)]",407.6,-37.8085305,144.9717364,0,7.33,13.0163804
ORDC01648,2018-08-15,15:26:11,Lunch,NS,"[('Salad', 9), ('Fries', 4)]",202.8,-37.8083939,144.9757389,0,7.329,13.0331106
ORDC05340,2018-04-05,11:02:32,Breakfast,NS,"[('Eggs', 9), ('Coffee', 3), ('Cereal', 1)]",241.5,-37.8028084,145.0041919,0,9.44,14.4651359
ORDZ05478,2018-05-25,12:43:56,Lunch,NS,"[('Steak', 10), ('Salad', 4)]",518.8,-37.8250195,144.9570327,0,9.704,15.6986339
ORDC00341,2018-03-27,10:42:15,Breakfast,NS,"[('Cereal', 5), ('Pancake', 4)]",202.0,-37.8205448,144.9574546,0,9.219,7.0566589
ORDA04828,2018-08-09,15:16:03,Lunch,BK,"[('Steak', 8), ('Salad', 1), ('Chicken', 3), ('Fries', 10)]",593.2,-37.807269,144.9391734,0,10.101,16.0292602
ORDX06453,2018-09-01,16:06:45,Dinner,BK,"[('Fish&Chips', 5), ('Pasta', 3), ('Shrimp', 1)]",311.5,-37.8150115,144.9601599,0,8.013,17.4884369
ORDK09837,2018-02-09,09:10:59,Breakfast,BK,"[('Pancake', 4), ('Cereal', 3), ('Coffee', 6), ('Eggs', 9)]",403.0,-37.799308,144.9592414,0,8.43,13.1225789
ORDX06004,2018-07-31,14:55:46,Lunch,BK,"[('Salad', 5), ('Chicken', 10), ('Steak', 1), ('Fries', 5), ('Burger', 10)]",821.0,-37.8120786,144.9739337,0,6.757,12.4843023
ORDB05202,2018-10-30,17:58:18,Dinner,TP,"[('Shrimp', 9), ('Pasta', 1), ('Salmon', 7)]",800.5,-37.8062135,144.9397323,0,10.368,7.3220411
ORDZ04271,2018-01-21,08:40:33,Breakfast,NS,"[('Coffee', 6), ('Pancake', 6), ('Eggs', 4), ('Cereal', 8)]",446.5,-37.8036834,144.9649862,0,6.845,13.607821
ORDB07287,2018-11-18,18:38:52,Dinner,TP,"[('Shrimp', 5), ('Fish&Chips', 2), ('Pasta', 6), ('Salmon', 4)]",669.0,-37.8108106,145.0029727,0,11.278,16.2743259
ORDJ05215,2018-11-20,18:38:52,Dinner,TP,"[('Shrimp', 1), ('Fish&Chips', 7), ('Salmon', 1)]",340.0,-37.8009521,144.9700611,0,9.907,13.6935546
ORDY09709,2018-05-19,12:33:48,Lunch,TP,"[('Chicken', 6), ('Fries', 10), ('Burger', 1)]",343.0,-37.8026418,144.9938728,0,11.179,16.3562457
ORDJ08866,2018-06-04,13:04:13,Lunch,TP,"[('Fries', 7), ('Chicken', 6), ('Burger', 8)]",524.0,-37.8201589,144.9714911,0,7.863,10.9659449
ORDX02787,2018-05-09,12:13:31,Lunch,BK,"[('Salad', 9), ('Steak', 6), ('Burger', 4), ('Chicken', 6)]",740.8,-37.8021489,144.9892151,0,5.833,12.2094809
ORDI01525,2018-05-25,12:43:56,Lunch,NS,"[('Fries', 9), ('Steak', 4), ('Salad', 5), ('Chicken', 8), ('Burger', 7)]",847.0,-37.8041569,144.9939808,0,8.529,13.9749929
ORDK04483,2018-01-09,08:10:08,Breakfast,BK,"[('Cereal', 8), ('Pancake', 7), ('Eggs', 9), ('Coffee', 7)]",588.25,-37.8025923,144.9800625,1,6.623,5.9827943
ORDC05400,2018-06-04,13:04:13,Lunch,NS,"[('Chicken', 5), ('Burger', 7), ('Steak', 3)]",512.0,-37.8175397,144.9667006,0,8.369,13.8245001
ORDX08364,2018-08-28,15:56:37,Lunch,BK,"[('Salad', 10), ('Steak', 2)]",262.0,-37.8061375,144.9572052,0,7.954,13.9949227
ORDK01355,2018-09-09,16:16:54,Dinner,BK,"[('Salmon', 10), ('Fish&Chips', 3), ('Shrimp', 9)]",1001.0,-37.8181824,145.0039911,0,4.453,13.4106051
ORDY08919,2018-03-18,10:32:06,Breakfast,TP,"[('Pancake', 7), ('Cereal', 6), ('Coffee', 2)]",310.75,-37.8150314,144.9528897,0,8.785,13.009631
