order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI00701,2018-11-30,18:59:09,Dinner,,"[('Shrimp', 9), ('Pasta', 3), ('Fish&Chips', 7), ('Salmon', 7)]",1100.5,-37.8028541,145.0036311,0,,14.7660866
ORDK02739,2018-09-27,16:57:27,Dinner,BK,"[('Shrimp', 2), ('Salmon', 4), ('Fish&Chips', 2)]",342.0,-37.8040695,144.9452196,0,9.102,16.0447715
ORDY00350,2018-10-31,17:58:18,Dinner,,"[('Fish&Chips', 4), ('Salmon', 1), ('Shrimp', 2)]",289.0,-37.810097,144.9960508,0,,15.1182242
ORDA10679,2018-10-25,17:48:10,Dinner,BK,"[('Fish&Chips', 10), ('Shrimp', 4), ('Salmon', 4)]",730.0,-37.8074612,144.9949676,0,4.888,11.5947662
ORDA09570,2018-01-25,08:40:33,Breakfast,BK,"[('Eggs', 10), ('Cereal', 9), ('Coffee', 9)]",476.5,-37.8071322,144.9598125,0,7.729,12.7140801
ORDC08936,2018-07-08,14:15:12,Lunch,NS,"[('Burger', 10), ('Fries', 5), ('Chicken', 3)]",466.0,-37.7992825,144.9367692,0,9.233,16.7802355
ORDA05367,2018-10-10,17:17:44,Dinner,,"[('Fish&Chips', 4), ('Shrimp', 4), ('Pasta', 8)]",576.0,-37.8128436,144.9520799,0,,15.5155902
ORDA00394,2018-06-12,13:24:30,Lunch,BK,"[('Salad', 7), ('Burger', 1)]",151.4,-37.815136,144.9419156,0,9.544,15.4524386
ORDX04294,2018-11-26,18:59:09,Dinner,,"[('Shrimp', 5), ('Pasta', 6), ('Fish&Chips', 2)]",505.0,-37.8241828,144.9632211,0,,15.7023348
ORDI02095,2018-02-15,09:21:07,Breakfast,NS,"[('Pancake', 1), ('Coffee', 8), ('Cereal', 6)]",210.25,-37.811942,145.0039821,0,9.919,15.0452302
ORDB03585,2018-06-05,13:04:13,Lunch,TP,"[('Salad', 6), ('Fries', 9), ('Chicken', 5)]",371.2,-37.8083751,144.9288036,0,11.863,14.4656316
ORDC08321,2018-11-22,18:49:00,Dinner,NS,"[('Pasta', 5), ('Fish&Chips', 3), ('Shrimp', 8)]",674.5,-37.8185829,144.9827401,0,8.833,14.8356764
ORDY08471,2018-06-17,13:34:38,Lunch,TP,"[('Chicken', 1), ('Steak', 8)]",392.0,-37.8101954,144.9971252,0,10.784,14.9246156
